0,1,2,3,4,5,6,7,8,9,10
155,C,"164.电这和互联网的出现以及迅速普及使得人们的工作效率大大提高,但是一系列新问题土筵之而来,电脑病毒就是冥中之一。2017年5月中旬,全球范围内多达一百多个国家的几十万台电脑遭退勒索病毒侵害,很多公司和政府部门无法办公,造成了巨大的勺损失。每一次大规莫电脑病毒的发生都会导孜新一轮的安全软件升级,但道高一尺麾高一丈,一段时间之后还是会出现新的电脑病毒。有专家表示,只要人们还在使用电脑,就无法完全杜绝新的、更高级的电脑病毒出见,人们能'敬的只是努力减少系统的漏引并不断提高自己的安全方范意识。以上事例列兑明()",矛盾只能通过一方克服另方来解决,可能性与不可能性相互转化,矛盾具有普遍性,事物在循环往复中实现发展,,,,
156,D,"165.毛泽东在(党委会的工作方法》中指出:""一个人的工作,究竟是三分成绩七分错误,还是七分成责三分错误,必须有个根本的估计。如果是七分成绩,那么就应对他的工作基本上以肯定。把成责为主说成错误为主,那就完全错了。”从唯物许证法看,这里强调的是(）",既要看到主要矛盾又要看到次要矛盾,矛盾的主要方面与次要方面既相互依赖又相互转化,无视矛盾的次要方面就不能正确认识矛盾,在认识矛盾时须着重把握矛盾的主要方面,,,,
157,C,"166.社牧在(阿房宫赋)中写道:灭六国者,六国也,非秦也:族秦者,秦也,非天下也。""这句话蕴含的哲理是()",假象无法反映事物的本质,理性认识需要感性认识来说明,"内因是事物变化的根据,外因需要通过内因才能起作用","没有正确的实践,就无法形成正确的认识",,,,
158,C,"167.""压垮骆驼的绝不仅是最后那根稻草,雪崩的时候没有-片雪花是无辜的。”从哲学上讲,这句话是在强调（)",量变和质变是直接同一的,事物的变化是否显著是区分量交和质变的根本标志,任何事物的变化都有━个量变的积累过过程,区分事物的量是认识质的前提,,,,
159,C,"168.在工作中防止""过""或""不及”的关键在于”()",抓住事物的主要矛盾,认识事物的量,把握事物的度,确定事物的质,,,,
160,C,169.事物发展过程中的“度”是指(),事物质变的关节点,事物质变的临界点,事物保持自己质的稳定性的数量界限,事物保持一定量的质的限度,,,,
161,B,"170.""君子以思患而豫防之"",有备才能无患。十丿八大以来,习近平总书记十分重视底线思维,凡事不能超越底线。如法律底线、政策底线、利益底线、道德底线等,一旦突 破这些底线,就会出现无法接受的坏结果。从哲学的角度分析,底线是指()",联系的条件性,度的关节点,主要矛盾,事物发展的连续性,,,,
162,A,"171.发证否定的实质是""扬弃”，""扬弃”是指新事物对日事物()",既克服又呆留,绝对的否定,不包含肯定的否定,外在的否定,,,,
163,B,"172.恩格斯指出:“在化学中,然素说经过上百年的实验工作才提供了一些材料。而拉瓦锡利用这种材科才在普利斯特歹列提取出来的氧气中发现了想象中的燃素的实在对立物,从而推翻了全部燃素说。但是燃素说者的实 验成果决不因此就被抛弃。正好相反。这些成果依然存在,只不过其表述被顺到过来,从然素说的语言翻译成现今通行的化学语言,因此仍然保持着自己的有效性。”这说明月〈)",辩证否定是一事物否定另事物,新旧事物是通过否定环节联系起来的,"只要敢于否定一切,历史就会向前发展",辩证否定是事物之间的相互否定,,,,
164,C,"173.事物内部的肯定方面和否定方面的对立统一运动,从表现形式上看()",是事物自我完善和发展的过程,是新事物战胜旧事物的过程,是螺旋式上升或波浪式前进的过程,是不断周而复始的循环过程,,,,
165,B,"174.""鸡蛋从外面打破是食物,从内部打破是生命。""从哲学上讲,这说明()",外因必须通过内因起作用,辩证否定是事物内部矛盾运动的结果,真理是主观性和相对性的辩锌证统一,必然产生于事物内部的根本矛盾,,,,
166,A,"175.""既念的群证法本身就变成只是现实世界的辩证运动的自觉的反映,从而黑格尔的辩证法就被倒到转过来了。""这段话表明,主观解证法与客观辩证法的关系是()",反映与彼反映的关系,唯心主义与唯物主义的关系,抽象与具体的关系,唯心辩证法与唯物辩证法的关系,,,,
167,A,"176.水葫芦,也叫水浮莲,二十世纪初作为观赏植物被引|人中国。后由于水葫芦本身含有一定的檀物蛋白,于是在二十世纪六七十年代被用作家畜尤其是猪的饲科使用,从而 得到大面积推广。没想到水葫芦的繁殖能力惊人,经常会出现抢占水面影响肮运、窒息鱼类的问题,现在单是人干打捞的费用每年就高达1亿元。这说明()",应该一分为二地看问题,事物的性质是不确定的,改造自然必然导致生态的失衡衡,自然界因人类的出现丧失了客观性,,,,
168,ACD,"1.下列说法中,符合锌证唯物主义一元论要求的有()","不唯书,不唯上,只唯实","不怕做不到,就怕想不到","─切从实际出发,实事求是",一切以时间、地点、条件为转移,,,,
169,AB,"2.下列观点中,属于唯物辩证法的总特征的有()",普遍联系的观见点,永恒发展的观见点,对立统一的观点,量变和质变的观点,,,,
170,ABD,"3.下列选项中,体现量变弓起质变这一哲学道理的有()","千里之堤,溃于蚁穴","水滴石穿,绳锯木断","近朱者赤,近墨者黑","不积田流,无以成江海",,,,
171,AC,"4.下列说法中,正确体现意识能动性的有)","胸有成竹,料事如神","纸上谈兵,画饼充饥","天下无难事,只怕有心人","不怕做不到,就怕想不到",,,,
172,ACD,5.唯物辩证法与形而上学的对立表现在是否承认(),矛盾是事物发展的源泉,世界是可可认识的,世界上的事物是普遍联系的,世界上的事物是运动发展的,,,,
173,ABCD,6.运动的基本形式有(),机械运动,物理运动,化学运动,生命运动和社会运动,,,,
174,CD,"7.必然性和偶然性是辩证统一的,割裂二者的统一可能导致()",激敖变论,庸俗进化论,机械决定论,唯心主义非决定论,,,,
175,AB,"8.任何事物都具有多方面的量的规定性,下列属于工厂的量的规定性是()",劳动生产率,生产方式,领导体制,产资料所有制形式,,,,
176,CD,9.辩证的否定观认为(),肯定中不包含否定,否定中不包含肯定,肯定中包含着否定,否定中包含着肯定,,,,
177,CD,10.从意识和物质的关系上来判断以下哪些说法是正确的(),纸上谈兵,画饼充饥,实事求是,"天下无难事,只怕有心人",,,,
178,CD,"11.从产生上说,意识主要是()",理性的产物,感性的产物,社会的产物,自然界发展的产物,,,,
179,CD,12.下列各项属于新事物优越于|日事物的原因的有(),新事物是在新的历史条件下产生的,新事物具有旧事物所没有的新形式,新事物抛弃了旧事物中消极的东西,新事物保留了旧事物中积极的因素,,,,
180,ACD,"13.在人类和人类社会形成的过程中,劳动所起的作用有()",劳动创造了人脑,劳动创造了人手,劳动推动了语言的产生与发展,劳动形成了人类的社会关系,,,,
181,AB,14.下列选项中包含矛盾同-性思想的有(),"祸兮福所倚,福兮祸所伏","物极必反,相反相成","月晕而风,出润而雨","千里之行,始于足下",,,,
182,BCD,"15.下列选项中,说明要坚持适度原则的有()",因地制宜,掌握火候,注意分寸,适可而上,,,,
183,BD,"16.唯心主义见点的产生有其认识上的原因,列宁说唯心主义哲学是生长在""人类认识这棵活生生的树上的-一朵不结果实的花”。这种观点说明唯心主义哲学()",同人类认识伴随始终,在人类认识发展过程中是难避免的,"在出现唯物主义之后,即会自动消失","在总体上是错误的,是不结果实的",,,,
184,BC,"17.下列哲学思想中,属于客观唯心主义观点的是()",我思故我在,道之大原出于天,物是绝对观念的异化,万物皆备于我,,,,
185,CD,"18.古希腊哲学家赫拉克利特认为:“这个万物自同的宇宙,既不是任何神,也不是任何人所创造的,它过去是、现在是、将来也是一团永恒的活生生的火,按照定的尺度燃烧,按照━定的尺度熄灭。”这种观点()",属于主张精神主宰物质世界的主观唯心主唯心主义,认为世界的本原是独立于人脑之外的客观精神,属于主张世界是绝对静止的形而上学,是一种混滑了物质和具体实物之间区别的朴素唯物主义观点,,,,
186,ABD,"19.马克思主义哲学""物质观"" 的提出给人们认识什么是物质带来了━场根本性的变革。其突出表现是()",物质的唯一特性是客观实在,人类实践活动也是物质的一 种形态,物质是各种实物的总和,人类社会也是物质的一种形态,,,,
187,AC,"20.意识和物质的对立只有在非常有限的范围内才有绝对的意义,超出这个范围,其对立便是相对的。这是因为()",意识根源于物质,"意识不能代替物质,物质也不能代替意识D.意识是物质的固有属性和存在形式",意识可以转化为物质,,,,,
188,BD,"21.鲁迅说:""描神画鬼,毫无对症,本可以专靠神思,所谓.天马行空地挥写了。然而他们写出来的却是三只眼、长颈子,也就是在正常的人体身上增了眼睛一只,拉长了颈子二三尺而已。""这段话表明,人们头脑中的鬼神观念()",是头脑中主观自生的,是人脑对客观世界的歪曲反映,是人脑对鬼神的虚幻反映,可以从人世间找到它的原型,,,,
189,BFH,"22.两个卖鞋子的推销员到非洲去考察业务,第━个人在发回给总部的电报中说:“糟糕极了!这里的人都不穿鞋子。""第二个人在发回给总部的电报中说:""妙极了!这里的人都不穿鞋子。""这个经典的营销学案例给我们的启发是()",精神与物质不具有同一性,意识的主体反映能力有差异,意识可由头脑自生,精神对物质具有相对独立性,意识只是对客观存在近以的反映,观念的东西不能代替物质的东西,事物在人脑中的反映不等同于事物自身,主体之间地位、兴趣与动机的差别也会造成客体在主体头脑中不同的反央
190,BD,"24.2016年3月，谷歌“阿尔法狗”与李世石上演人机五番棋大战。最终,李世石以四负一胜的结局输给了 ""阿尔法狗”。人工智能在棋盘上战胜人类,这样的结果令人惊讶。这一事件给我们的启示是()",电脑具有比人脑更高级的运动形式,"电脑是人脑的延伸,是人类扩展自己智力的工具",电脑和机器人也能进行某些实践活动,"电脑是物化了的人的意识,电脑战胜人脑实质上是人类自己战胜了自己",,,,
191,ABC,"25.赫拉克利特认为""人不能两欠踏进同一条河流""，但他的学生反驳说""人连一-次都不能踏进同一条河流"",这两种观 点理解正确的是()",前者是锌证法的观见点,后者是相对主义诡辩论,前者肯定相对静止,后者否定绝对运动,,,,
192,ABCD,"26.“物质的每一有限的存在方式,不论是太阳或星云,个别动物或动物种属,化学的化合或分解,都同样是暂时的,而且除了永恒变化着的、永恒运动着的物质及其运动变化的规律外,再没有什么永恒的东西了。""这表明()",世界上除了运动着的物质什么也没有,"世界是物质的,而物质是运动的",物质世界的运动是绝对的,世界的真正统一性在于它的物质性,,,,
193,ACD,"27.2017年3月9日,我国自主研发的“海翼”号深海滑翔机,在马里亚纳海沟完成了大深度下潜观测任务并安全回收,为我国深渊科考提供了新的科考手段。4月22日,天舟―号货运飞船和天宫二号圆满完成自动对接,填补了我国在航天领域的一个空白。我国科技的发展,令世界瞩目。这标志着()",人类有能力认识无限发展着的客观世界,人类有能力发现、改造、创造客观规律,科学技术越来越成为人类改造世界的伟大力量,自在自然日益转化为人化自然,,,,
194,BC,"28.物联网是通过信息传感设备将各种物品与互联网连接起来,实现物品的自动识别、定位、跟踪、控制和信息的互联共享。近几年来,物联网技术开始越来越广泛地应用于经济和社会生活之中,这表明()",人们可以根据自己的主观要求创造事物间的联系,"联系具有普遍性,事物之间的联系形式是多样的",人类可以根据事物固有的联系建立新的具体联系,"事物间的联系因具有“人化""的特点进而主观化",,,,
195,ABCD,"29.英国“零碳馆”是上海世博会城市最佳实践区内的,颗耀眼的明珠,它的原型---伦敦“零碳村”,有自己的小型热电联产站、污水处理站和雨水收集系统。各个系统的联动使得这里的采暖能耗、用水量和用电量大大低于英国的平均水平,更重要的是,对社会的碳排放为零。这表明()","联系是客观的,我们要善于分析事物的联系以造福人类","联系是普遍的,我们要确立整体性、开放性的观念","我们应遵循规律,正确处理人与自然、人与社会的相互关系","坚持系统的观点,从动态中考察事物的整体联系",,,,
196,ABC,"30.《国语.郑语》中:""夫和实生物,同则不继。以他平他谓之和,故能丰长而物归之。若以同裨同,尽乃弃矣。""这里包含的辩证法思想有()",矛盾的同一是包含差别的同,对立面的统一是事物发展的动力,不包含内部差别怕的事物就不能存在和发展,矛盾的一方只有克服另方才能达到统一,,,,
197,AD,"31.习近平总书记在十九大报告中呼吁各国人民同心协力,构建人类命运共同体,要相互尊重、平等协商,坚决摒弃冷战思维和强权政冶,走对话而不对抗、结伴而不结盟的国与国交往新路。这条新路就是有别于传统地缘政治的对抗与战争之路,是一条合作共赢共同发展之路。这体现了()",世界是普遍联系的,矛盾的对立面之间只有在消灭彼此后才能解决矛盾,矛盾的斗争性对事物的发展起决定性作用,矛盾的斗争性寓于同-性之中,,,,
198,ABD,"32.中国古代哲学家公孙龙提出的""白马非马""的命题,其错误是割裂了事物的()",一般和个别的关系,共性和个性的关系,整体和部分的关系,普遍和特殊的关系,,,,
199,AC,"33.中国古代思想家荀子的《劝学》中有句名言:""不积跬步,无以至千里;不积小流,无以成江海。”这句话强调了()",事物的发展是━个不断量变的过程,事物的发展是━━个不断质变的过程,量变是质变的必要准备,质变是量变的必然结果,,,,
200,AC,"34.古人云:“马长于日行千里,猫长于潜伏捕鼠,雄鸡长于报晓司晨,若猫司晨,鸡行路,马捕鼠则长皆失。”这说明()",矛盾的特殊性是一事物区别于其他事物的重要标志,同一事物的矛盾在不同发展阶段各有不同的特点,矛盾着的事物及其每━个侧面各有其特点,矛盾的普遍性寓于特殊性之中,,,,
201,ABCD,"35.博弈论提出过个“零和游戏""的理论,即一项活动中,胜方所得与负方所失相同,两者相加,正负相抵,和数必为零,这就是所谓的“零和。在社会的方方面面都有与“零和游戏”相类以的局面,胜利者的光荣后面往往隐蔽着失败者的辛酸和苦涩。但20世纪以来,“零和游戏""的观念正逐斩被""非乍零和游戏”所代替,从“零和”走向""双嬴”。矛盾双方有复杂的相互关系,以下关于矛盾关系的说法正确的有(）",矛盾双方存在相互依存、相互贯通的属性,"矛盾的特殊性要求我们“具体问题具体分析""",矛盾双方的斗争带来事物的量变,矛盾双方的斗争最终导致事物的质变,,,,
202,AC,"36.""近水楼台先得月,向日花木易为春”,其中蕴含的哲理是（)",外因是事物变化发展的重要条件,外因只能通过内因才能起作用,外因能够速或者延缓事物的发展变化,事物是变化发展的,,,,
203,ACD,"37.在北方,冬天气候寒冷,从环境条件上来说不利于蔬菜的生长,露天种植西红柿、黄瓜等蔬菜肯定会失败。但是,人们盖起了温室,创造了局部温暖的环境,就可以种菜了。这个故事给我们的启示是()",认识规律是人们改造自然的前提,规舰律是可以通过实践活动创造的,人类可以利用规律来实现自己的目的,人们可以改变规律起作用的条件和形式,,,,
204,AB,"38.“守株待免”是中国古代寓言中━个内涵深刻的故事,故事中的主人公采取""守株”的方法,最终没有能够成功地""待免”。其失败的原因在于（)",没能正确地认识事物之间的规舰律,把事物运动中的偶然当作了必然,混淆了事物现象与本质之间的关系,否定了人的主观能动性的作用,,,,
205,ABD,"39.""如果资本主义的死亡是由科学保证了的,为什么还要费那么大的力气去为它安排葬礼呢?""这种观点的错误在于（)",抹杀了社会规律实现的特点,否认革命在社会质变中的作用,否认历史观上的决定论,否认历史主体的能动作用,,,,
206,CD,"40.2010年4月2日,我国首个目标行器一天百一号流星股从天外回归,结束了长约7年的太空之旅。天宫号回归地球,落于南太平洋中部区域,绝大部分器件在再入大气层过程中烧蚀肖毁。天宫一号的华美谢幕,意味着更精彩的演出即将上演。如今,天官二号早已升空,不久的将来,中国空间站印将建成。这体现出()",新事物在任何时候都能战胜旧事物,矛盾的特殊性离不开普遍性,发展的实质是新事物的产生和旧事物的灭亡,凡是在历史上产生的都会在历史上灭亡,,,,
207,CD,"41.""堰苗助长""却事与愿违,""府丁解牛”则事半功倍。这两个不同结果的寓言故事共同说明的哲学道理是()",不同的人对同一事物有不同的反映,"人具有主能纭动性,可以改变和利用规律",发挥主观能动性必须以尊重规舰律为基础,"物质决定意识,意识对物质有巨大的反作用",,,,
208,AB,"42.近年来,互联网的迅猛发展与普遍接入,使大量数据的获取、聚集、存储、传输、处理、分析等变得越来越便捷,大数据分析成为可能。大数据分析通过对各种不同的联系分别地、具体地加以研究、从海量的数据中找到隐藏的关联,从而帮助各行各业的人们作出正确舶的决定。这表明()",世界是相互联系的统整体,联系具有多样性,事物之间的联系都是人为的,数据是世界普遍联系的基础,,,,
209,CD,"43.2018年10月,美国西尔斯百货正式向法院申请破产保护。这家百年老店曾是美国零售业的标杆、影响了几代美国人的生活。因为受到互联网零售冲击,大量像西尔斯这样的美国传统零售商遭遇了困境。与此同时,互联网经济正全面重新塑造美国零售业格局。据美国媒体报道,如今半数美国家庭都是亚马逊的订阅用户。这一事例给我们的启示有()",出现时间的先后以及形式是否新奇是区别新日事物的根本标志,事物之间的相互否定构成社会发展的动力,━切事物都有它的产生、发展和灭亡,新事物必然战胜I日事物,,,,
210,AC,"44.钱钟书在(国城》中写道:""天下就没有偶然,那不过是化了妆的、戴了面具的必然。”""偶然是化了妆的必然""的哲理在于()",没有纯粹的偶然,偶然和必然产生和形成的原因相同,偶然背后隐藏着必然,偶然是不存在的,,,,
211,BCD,"45.把握事物的可能性,要注意区分()",真实的可能性和虚假的可能性,好的可能性和坏的可可能性,可能性和不可能性,现实的可能性和抽象的可能性,,,,
212,AC,"46.列宁曾经把现象比作河水上面的泡沫,而把本质比作下面的深流。这-比喻形象地说明了本质与现象的关系,以下说法正确的是()",本质只有靠人的理性思维才能把握,"现象离不开本质,但本质可以离开现象","现象是多变的,本质是相对稳定的","真象和本质是同一的,假象和 本质不是同一的",,,,
213,AB,"47.任何事物都有它的内容与形式,都是内容与形式的统一。内容是()",构成事物一切要素的总和,事物存在的基础,各种要素的结构,各种要素的表现方式,,,,
214,ABC,48.内容与形式是从构成要素和表现方式上反映事物的一-对基本范畴。内容与形式的锌证关系是(),内容决定形式,形式对内容有反作用,形式对内容具有相对独立性,同一内容只能通过一种形式来体现,,,,
215,AB,"49.丹麦政府从2016年开始实施""无纸币攻策”，除了医院、药局与邮局等机构外所有零售商家,包括力口油站、服饰店和餐厅等,都已取消收银机,只接受使用信用卡或手机移动支付等电子货币服务。该方案的支持者称,结算少用现金将虽店内安全,削减用于点钞少和存储硬币和纸币的开销。无现金支付不仅可增口效率,且不使用现金,还可以降低犯罪率,断掉了劫匪财路,丹麦的治安问题会得到进步的改善。不过,不容忽视的是,劫案减少的同时,丹麦的信用卡盗刷、欺诈等犯罪行为却正在增多。这一材料说明()",━切现象和过程都包含着矛盾,新事物的成长要经历━个曲折的过程,必然为偶然开辟道路,矛盾的斗争性始终处于主要的方面,,,,
216,ABD,"50.据媒体暴科,日前某事业单位的公开招聘中,笔试、面试均为第一的硕士却被人社局拒录,理由令人哭笑不得:报考者所学的”比较文学与世界文学""属于“中国语言文学类""但不是招聘要求的""中国语言文学""，""差一个字都不行""。此前在山西省吕梁市的事业单位招聘中也出现过""世界史不是历史学”的笑话。""白马非马”式招聘使政府公信力受损。从哲学上讲,""白马非马”式招聘的错误在于割裂了(）",一般和个别的关系,共性和个性的关系,整体和部分的关系,普遍和特殊的关系,,,,
